#Coverage	Number of genomic locations
0.0	3.052140245E9
1.0	3.2597709E7
2.0	7158051.0
3.0	2362895.0
4.0	1347597.0
5.0	854158.0
6.0	609299.0
7.0	457826.0
8.0	359016.0
9.0	296415.0
10.0	245268.0
11.0	205108.0
12.0	175216.0
13.0	151048.0
14.0	128995.0
15.0	110002.0
16.0	96215.0
17.0	81478.0
18.0	69865.0
19.0	58132.0
20.0	48970.0
21.0	40266.0
22.0	32979.0
23.0	26377.0
24.0	21447.0
25.0	17450.0
26.0	13781.0
27.0	10706.0
28.0	8290.0
29.0	6694.0
30.0	5064.0
31.0	3783.0
32.0	2834.0
33.0	2051.0
34.0	1430.0
35.0	1013.0
36.0	799.0
37.0	584.0
38.0	486.0
39.0	335.0
40.0	274.0
41.0	180.0
42.0	123.0
43.0	96.0
44.0	64.0
45.0	43.0
46.0	28.0
47.0	16.0
48.0	17.0
