#Insert size (bp)	insert size
37.0	1.0
42.0	7.0
43.0	27.0
44.0	247.0
45.0	5766.0
46.0	24176.0
47.0	17423.0
48.0	15734.0
49.0	14786.0
50.0	14348.0
51.0	12552.0
52.0	10642.0
53.0	10054.0
54.0	9998.0
55.0	12081.0
56.0	14949.0
57.0	16047.0
58.0	16236.0
59.0	15720.0
60.0	14977.0
61.0	13875.0
62.0	13539.0
63.0	13477.0
64.0	13293.0
65.0	13157.0
66.0	8706.0
67.0	8199.0
68.0	7379.0
69.0	6710.0
70.0	6366.0
71.0	6391.0
72.0	6709.0
73.0	7153.0
74.0	7511.0
75.0	7561.0
76.0	7540.0
77.0	7018.0
78.0	6616.0
79.0	5807.0
80.0	5528.0
81.0	5263.0
82.0	5316.0
83.0	5691.0
84.0	6124.0
85.0	6315.0
86.0	6350.0
87.0	5961.0
88.0	5526.0
89.0	5012.0
90.0	4575.0
91.0	4385.0
92.0	4448.0
93.0	4585.0
94.0	4925.0
95.0	4983.0
96.0	5005.0
97.0	4999.0
98.0	4638.0
99.0	4301.0
100.0	3939.0
101.0	3690.0
102.0	3695.0
103.0	3742.0
104.0	3888.0
105.0	4046.0
106.0	4193.0
107.0	4097.0
108.0	3887.0
109.0	3677.0
110.0	3379.0
111.0	3147.0
112.0	3024.0
113.0	3037.0
114.0	3041.0
115.0	3359.0
116.0	3428.0
117.0	3328.0
118.0	3357.0
119.0	3042.0
120.0	2992.0
121.0	2849.0
122.0	2906.0
123.0	2706.0
124.0	2615.0
125.0	2635.0
126.0	2666.0
127.0	2881.0
128.0	3088.0
129.0	3092.0
130.0	2968.0
131.0	2912.0
132.0	3011.0
133.0	2789.0
134.0	2521.0
135.0	2240.0
136.0	2267.0
137.0	2225.0
138.0	2572.0
139.0	2662.0
140.0	2797.0
141.0	2765.0
142.0	2897.0
143.0	2723.0
144.0	2404.0
145.0	2430.0
146.0	2259.0
147.0	2279.0
148.0	2408.0
149.0	2637.0
150.0	2719.0
151.0	2659.0
152.0	2523.0
153.0	2469.0
154.0	2495.0
155.0	2712.0
156.0	3043.0
157.0	3643.0
158.0	4181.0
159.0	4330.0
160.0	3883.0
161.0	3158.0
162.0	2956.0
163.0	2736.0
164.0	2868.0
165.0	3294.0
166.0	3941.0
167.0	4220.0
168.0	4335.0
169.0	4180.0
170.0	3766.0
171.0	3205.0
172.0	2895.0
173.0	2741.0
174.0	2814.0
175.0	3090.0
176.0	3326.0
177.0	3593.0
178.0	3763.0
179.0	3654.0
180.0	3394.0
181.0	3247.0
182.0	2994.0
183.0	3031.0
184.0	3019.0
185.0	3296.0
186.0	3520.0
187.0	3574.0
188.0	3590.0
189.0	3442.0
190.0	3375.0
191.0	3253.0
192.0	3218.0
193.0	3267.0
194.0	3369.0
195.0	3581.0
196.0	3739.0
197.0	3686.0
198.0	3736.0
199.0	3429.0
200.0	3291.0
201.0	3352.0
202.0	3280.0
203.0	3447.0
204.0	3545.0
205.0	3537.0
206.0	3610.0
207.0	3546.0
208.0	3556.0
209.0	3397.0
210.0	3203.0
211.0	3110.0
212.0	3059.0
213.0	3060.0
214.0	3187.0
215.0	3176.0
216.0	3098.0
217.0	3140.0
218.0	3104.0
219.0	3064.0
220.0	2877.0
221.0	2796.0
222.0	2820.0
223.0	2742.0
224.0	2754.0
225.0	2782.0
226.0	2844.0
227.0	2700.0
228.0	2641.0
229.0	2572.0
230.0	2432.0
231.0	2480.0
232.0	2321.0
233.0	2212.0
234.0	2236.0
235.0	2210.0
236.0	2187.0
237.0	2285.0
238.0	2107.0
239.0	2053.0
240.0	2009.0
241.0	1980.0
242.0	1854.0
243.0	1811.0
244.0	1771.0
245.0	1799.0
246.0	1738.0
247.0	1784.0
248.0	1742.0
249.0	1702.0
250.0	1723.0
251.0	1627.0
252.0	1501.0
253.0	1461.0
254.0	1460.0
255.0	1406.0
256.0	1423.0
257.0	1411.0
258.0	1391.0
259.0	1411.0
260.0	1323.0
261.0	1300.0
262.0	1259.0
263.0	1309.0
264.0	1214.0
265.0	1133.0
266.0	1226.0
267.0	1150.0
268.0	1152.0
269.0	1153.0
270.0	1114.0
271.0	1126.0
272.0	1048.0
273.0	1031.0
274.0	1036.0
275.0	959.0
276.0	951.0
277.0	1006.0
278.0	1011.0
279.0	948.0
280.0	946.0
281.0	944.0
282.0	910.0
283.0	937.0
284.0	958.0
285.0	872.0
286.0	880.0
287.0	873.0
288.0	850.0
289.0	903.0
290.0	924.0
291.0	898.0
292.0	866.0
293.0	847.0
294.0	855.0
295.0	741.0
296.0	775.0
297.0	807.0
298.0	795.0
299.0	796.0
300.0	787.0
301.0	860.0
302.0	828.0
303.0	771.0
304.0	766.0
305.0	721.0
306.0	753.0
307.0	734.0
308.0	720.0
309.0	738.0
310.0	714.0
311.0	761.0
312.0	790.0
313.0	792.0
314.0	743.0
315.0	744.0
316.0	749.0
317.0	750.0
318.0	689.0
319.0	734.0
320.0	726.0
321.0	812.0
322.0	742.0
323.0	751.0
324.0	784.0
325.0	790.0
326.0	718.0
327.0	717.0
328.0	676.0
329.0	691.0
330.0	770.0
331.0	743.0
332.0	770.0
333.0	738.0
334.0	751.0
335.0	761.0
336.0	810.0
337.0	747.0
338.0	696.0
339.0	703.0
340.0	694.0
341.0	705.0
342.0	735.0
343.0	721.0
344.0	722.0
345.0	767.0
346.0	752.0
347.0	732.0
348.0	745.0
349.0	730.0
350.0	743.0
351.0	700.0
352.0	705.0
353.0	735.0
354.0	719.0
355.0	737.0
356.0	763.0
357.0	743.0
358.0	727.0
359.0	716.0
360.0	741.0
361.0	737.0
362.0	759.0
363.0	730.0
