#Mapping quality	mapping quality
20.0	19512.0
21.0	29289.0
22.0	34352.0
23.0	29950.0
24.0	47978.0
25.0	70740.0
26.0	11860.0
27.0	166289.0
28.0	13843.0
29.0	12268.0
30.0	106787.0
31.0	23288.0
32.0	16498.0
33.0	32573.0
34.0	13531.0
35.0	21245.0
36.0	18071.0
37.0	20486.0
38.0	13083.0
39.0	34792.0
40.0	1399160.0
41.0	58320.0
42.0	48652.0
43.0	53091.0
44.0	55661.0
45.0	62132.0
46.0	69215.0
47.0	54274.0
48.0	80445.0
49.0	62888.0
50.0	133525.0
51.0	87510.0
52.0	85307.0
53.0	129693.0
54.0	66308.0
55.0	198971.0
56.0	90699.0
57.0	118791.0
58.0	126276.0
59.0	103010.0
60.0	4.379011E7
